province,altimetry,n_farms,scale_f,scale_w
Agrigento,Collina,3763,1.0881,1.0554
Agrigento,Montagna,641,1.1372,1.1504
Agrigento,Pianura,376,1.1076,0.9904
Alessandria,Collina,82,0.9759,1.1059
Alessandria,Pianura,185,1.041,0.9813
Ancona,Collina,2776,1.0893,1.1349
Ancona,Montagna,466,1.0935,1.0345
Arezzo,Collina,552,1.2076,1.1157
Arezzo,Montagna,23,1.0305,0.9217
Ascoli Piceno,Collina,510,1.1537,1.0391
Ascoli Piceno,Montagna,25,0.9926,0.9745
Avellino,Collina,948,1.0527,0.9625
Avellino,Montagna,3388,1.0567,0.9737
Bari,Collina,4711,1.0752,1.1576
Bari,Pianura,490,1.1222,1.0871
Barletta-Andria-Trani,Collina,880,1.0683,1.0855
Barletta-Andria-Trani,Pianura,257,1.0796,0.9988
Benevento,Collina,1685,1.033,0.9382
Benevento,Montagna,1581,1.0188,0.9961
Bergamo,Collina,16,1.0034,1.065
Bergamo,Pianura,67,1.0965,1.0278
Bologna,Collina,283,1.1137,1.0083
Bologna,Montagna,12,1.0369,1.1681
Bologna,Pianura,733,1.0983,1.0929
Brescia,Collina,43,1.0285,0.9577
Brescia,Pianura,149,1.1313,0.9914
Brindisi,Collina,376,0.9412,1.05
Brindisi,Pianura,1077,0.9561,1.0838
Cagliari,Collina,40,1.0562,1.0037
Cagliari,Pianura,210,0.9838,0.9795
Caltanissetta,Collina,4162,1.108,1.0846
Caltanissetta,Pianura,636,1.1281,1.0983
Campobasso,Collina,5174,1.0798,1.0526
Campobasso,Montagna,1838,1.0499,0.9539
Caserta,Collina,219,1.1368,0.9222
Caserta,Montagna,13,1.1316,1.0277
Caserta,Pianura,328,1.1079,1.0371
Catania,Collina,3027,1.1432,1.0664
Catania,Montagna,351,1.1052,1.0979
Catania,Pianura,339,1.0365,1.086
Catanzaro,Collina,401,1.1085,1.0018
Catanzaro,Montagna,44,1.1095,0.8755
Catanzaro,Pianura,34,1.1183,0.8211
Chieti,Collina,3024,1.1416,1.026
Chieti,Montagna,209,1.1013,0.9204
Cosenza,Collina,1115,1.1462,0.9356
Cosenza,Montagna,375,1.1142,1.031
Cosenza,Pianura,218,1.1774,0.9845
Cremona,Pianura,164,1.0392,1.0068
Crotone,Collina,232,1.2854,1.1418
Crotone,Montagna,61,1.0269,1.1156
Crotone,Pianura,982,1.1263,1.1077
Cuneo,Collina,88,1.094,0.9396
Cuneo,Montagna,22,0.9504,0.8
Cuneo,Pianura,127,1.0061,0.974
Enna,Collina,3230,1.0998,1.063
Enna,Montagna,718,1.0861,1.0573
Fermo,Collina,1168,1.0662,1.1366
Ferrara,Pianura,1155,1.2043,1.2
Firenze,Collina,143,1.2376,1.0631
Firenze,Montagna,17,1.0823,1.084
Firenze,Pianura,19,1.0658,1.0276
Foggia,Collina,6325,1.0964,1.11
Foggia,Montagna,999,1.141,1.0627
Foggia,Pianura,9956,1.1435,1.1405
Forlì-Cesena,Collina,82,1.1658,1.1178
Forlì-Cesena,Pianura,199,1.1615,1.0744
Frosinone,Collina,291,1.1394,0.9068
Frosinone,Montagna,69,1.0308,0.8
Grosseto,Collina,1074,1.096,1.0919
Grosseto,Montagna,45,1.0468,1.0326
Grosseto,Pianura,351,1.0986,1.0801
Isernia,Collina,67,1.0366,0.8574
Isernia,Montagna,229,0.9921,0.8
L'Aquila,Montagna,329,1.1971,1.0215
Latina,Collina,78,1.158,1.0425
Latina,Pianura,172,1.0384,1.0252
Lecce,Pianura,3859,1.1548,1.0847
Livorno,Collina,487,1.0723,1.1354
Lodi,Pianura,33,1.0798,1.0246
Lucca,Montagna,16,1.0346,0.8576
Lucca,Pianura,38,1.0119,1.0779
Macerata,Collina,2776,1.1859,1.1052
Macerata,Montagna,80,1.0754,1.203
Mantova,Collina,23,1.0411,0.9793
Mantova,Pianura,565,1.0923,1.1408
Matera,Collina,3285,1.0774,1.1429
Matera,Montagna,92,1.1204,1.1283
Matera,Pianura,1370,0.9903,1.1232
Messina,Collina,329,1.1542,0.9933
Messina,Montagna,536,1.045,1.0833
Milano,Pianura,132,1.0599,1.0024
Modena,Collina,25,1.0809,1.0066
Modena,Montagna,20,1.0182,0.9513
Modena,Pianura,161,1.0644,1.0671
Napoli,Collina,81,1.0704,0.8186
Napoli,Pianura,69,1.0921,1.0824
Nuoro,Collina,130,1.041,1.0385
Nuoro,Montagna,30,1.0295,0.9452
Oristano,Collina,243,1.0104,1.0177
Oristano,Pianura,393,1.0578,1.0972
Padova,Collina,39,0.9809,0.9229
Padova,Pianura,487,1.0095,1.0356
Palermo,Collina,3649,1.1136,1.0481
Palermo,Montagna,2896,1.108,1.0924
Palermo,Pianura,592,1.121,1.0555
Parma,Collina,189,1.0521,1.0412
Parma,Montagna,22,1.026,0.9837
Parma,Pianura,277,1.0458,1.0109
Pavia,Collina,70,1.0058,1.0246
Pavia,Montagna,10,0.9421,1.0166
Pavia,Pianura,155,1.0891,0.964
Perugia,Collina,880,1.0484,1.0545
Perugia,Montagna,192,1.0477,0.9429
Pesaro e Urbino,Collina,2321,1.1336,1.1181
Pesaro e Urbino,Montagna,159,1.1854,1.1762
Pescara,Collina,1030,1.0882,1.0362
Pescara,Montagna,129,1.045,0.9026
Piacenza,Collina,162,1.0541,1.1124
Piacenza,Montagna,17,1.0365,0.9665
Piacenza,Pianura,146,1.0454,1.0111
Pisa,Collina,509,1.0657,1.0214
Pisa,Pianura,139,1.0529,1.0541
Pistoia,Collina,14,1.164,0.9273
Pistoia,Montagna,10,0.9272,0.8154
Potenza,Collina,4376,1.0948,1.1346
Potenza,Montagna,2706,1.1443,1.1101
Ragusa,Collina,1419,1.0778,1.0695
Ragusa,Pianura,279,1.1578,1.067
Ravenna,Collina,26,1.0214,1.0628
Ravenna,Pianura,898,1.2731,1.1473
Reggio Calabria,Collina,278,1.2513,1.0937
Reggio Calabria,Montagna,142,1.2857,0.8
Reggio Calabria,Pianura,38,1.0866,1.011
Reggio nell'Emilia,Collina,28,0.9814,1.0656
Reggio nell'Emilia,Montagna,11,0.9829,1.0171
Reggio nell'Emilia,Pianura,106,1.0477,0.9976
Rieti,Collina,69,0.9951,0.9262
Rieti,Montagna,90,1.1305,0.9816
Rimini,Collina,150,1.1043,1.0398
Rimini,Pianura,82,1.1243,1.0545
Roma,Collina,430,1.2293,1.1053
Roma,Montagna,19,0.9842,0.9543
Roma,Pianura,620,1.1461,1.116
Rovigo,Pianura,666,1.0097,1.0294
Salerno,Collina,1050,1.1918,0.9612
Salerno,Montagna,212,1.3245,0.9252
Salerno,Pianura,197,1.195,1.0299
Sassari,Collina,184,1.0699,0.9385
Sassari,Montagna,15,0.9991,1.028
Sassari,Pianura,170,1.0046,0.9646
Siena,Collina,718,1.0292,1.0191
Siena,Montagna,51,1.0737,1.0118
Siracusa,Collina,831,1.0702,1.0655
Siracusa,Pianura,353,0.9837,1.0943
Sondrio,Montagna,13,1.3196,0.8
Sud Sardegna,Collina,1282,1.049,0.9414
Sud Sardegna,Pianura,1600,1.0807,1.0349
Taranto,Collina,1501,0.9897,1.0768
Taranto,Pianura,1141,1.0849,0.9669
Teramo,Collina,907,1.1117,1.0774
Teramo,Montagna,47,1.1362,0.9379
Terni,Collina,281,1.0152,1.1075
Torino,Collina,70,1.0284,0.8813
Torino,Montagna,16,1.0182,0.8
Torino,Pianura,196,1.0139,0.9631
Trapani,Collina,2462,1.0998,0.9419
Trapani,Pianura,1302,1.1024,0.8778
Trento,Montagna,56,1.044,0.8
Treviso,Collina,46,1.4541,0.9868
Treviso,Pianura,209,1.1987,1.1146
Udine,Collina,16,1.0138,1.1806
Udine,Pianura,80,1.3419,1.2
Venezia,Pianura,229,1.2615,1.1298
Verona,Collina,14,1.0489,0.9565
Verona,Pianura,308,1.0708,1.2
Vibo Valentia,Collina,345,1.1028,0.8697
Vibo Valentia,Montagna,21,1.4315,0.8255
Vicenza,Collina,100,1.0795,0.8737
Vicenza,Pianura,172,1.0892,1.0108
Viterbo,Collina,993,1.1109,1.0574
Viterbo,Pianura,755,0.9919,1.0878
