province,altimetry,n_farms,percent,scale_f,scale_w
Agrigento,Collina,3763,0.05,1,1.15
Agrigento,Montagna,641,0.26,1.11,1.15
Agrigento,Pianura,376,0.06,1.07,1.15
Alessandria,Collina,82,0.4,0.94,1.1
Alessandria,Pianura,185,0.28,0.97,0.96
Ancona,Collina,2776,0.12,1.03,0.93
Ancona,Montagna,466,0.33,1.01,0.87
Arezzo,Collina,552,0.37,1.08,1.14
Arezzo,Montagna,23,0.22,0.77,0.8
Ascoli Piceno,Collina,510,0.1,1.03,0.95
Ascoli Piceno,Montagna,25,0.35,0.97,1.0
Avellino,Collina,948,0.02,1.02,0.88
Avellino,Montagna,3388,0.07,0.99,0.93
Bari,Collina,4711,0.04,1.02,1.2
Bari,Pianura,490,0.11,1.07,1.2
Barletta-Andria-Trani,Collina,880,0.26,0.92,1.2
Barletta-Andria-Trani,Pianura,257,0.18,1.06,1.2
Benevento,Collina,1685,0.09,0.97,0.88
Benevento,Montagna,1581,0.12,1,0.89
Bergamo,Collina,16,0.51,1.14,1.09
Bergamo,Pianura,67,0.38,0.84,1.03
Bologna,Collina,283,0.04,0.94,0.89
Bologna,Montagna,12,0.94,1.05,1.81
Bologna,Pianura,733,0.1,0.96,0.99
Brescia,Collina,43,0.32,0.98,0.9
Brescia,Pianura,149,0.15,1.02,0.99
Brindisi,Collina,376,0.21,1.05,1.2
Brindisi,Pianura,1077,0.18,0.96,1.2
Cagliari,Collina,40,0.65,0.72,1.15
Cagliari,Pianura,210,0.18,0.9,0.96
Caltanissetta,Collina,4162,0.01,1.01,1.15
Caltanissetta,Pianura,636,0.16,1,1.15
Campobasso,Collina,5174,0.05,1.04,0.95
Campobasso,Montagna,1838,0.13,0.98,0.83
Caserta,Collina,219,0.18,1.06,0.86
Caserta,Montagna,13,0.9,1.23,1.15
Caserta,Pianura,328,0.08,0.98,0.85
Catania,Collina,3027,0.02,1.04,1.1
Catania,Montagna,351,0.54,1.08,1.15
Catania,Pianura,339,0.39,0.88,1.15
Catanzaro,Collina,401,0.21,1.19,0.93
Catanzaro,Montagna,44,0.46,0.79,0.44
Catanzaro,Pianura,34,0.59,1.39,0.8
Chieti,Collina,3024,0.04,1.11,0.94
Chieti,Montagna,209,0.2,1.04,0.87
Cosenza,Collina,1115,0.13,1.12,0.74
Cosenza,Montagna,375,0.29,1.04,0.79
Cosenza,Pianura,218,0.07,1.13,0.96
Cremona,Pianura,164,0.09,1.01,1
Crotone,Collina,232,0.75,1.01,0.88
Crotone,Montagna,61,0.94,1.08,1.37
Crotone,Pianura,982,0.16,1,1
Cuneo,Collina,88,0.28,1.12,0.59
Cuneo,Montagna,22,0.42,0.72,0.94
Cuneo,Pianura,127,0.24,0.91,0.96
Enna,Collina,3230,0.03,1.02,1.15
Enna,Montagna,718,0.39,0.97,1.15
Fermo,Collina,1168,0.32,0.75,0.97
Ferrara,Pianura,1155,0.02,1.18,0.97
Firenze,Collina,143,0.41,1.18,1.04
Firenze,Montagna,17,0.9,1.55,1.13
Firenze,Pianura,19,2.18,1.59,0.98
Foggia,Collina,6325,0.01,1,1.2
Foggia,Montagna,999,0.11,1.05,1.2
Foggia,Pianura,9956,0.08,1.06,1.2
Forlì-Cesena,Collina,82,0.3,1.34,1.14
Forlì-Cesena,Pianura,199,0.15,1.09,0.92
Frosinone,Collina,291,0.2,1.01,0.69
Frosinone,Montagna,69,0.7,1.1,0.32
Grosseto,Collina,1074,0.19,1.08,1.05
Grosseto,Montagna,45,0.42,1,1
Grosseto,Pianura,351,0.16,0.9,0.94
Isernia,Collina,67,0.44,1.07,1.17
Isernia,Montagna,229,0.24,0.99,0.65
L'Aquila,Montagna,329,0.2,1.27,0.78
Latina,Collina,78,0.87,1.48,0.55
Latina,Pianura,172,0.07,1.05,0.96
Lecce,Pianura,3859,0.13,0.72,1.12
Livorno,Collina,487,0.04,0.82,1.11
Lodi,Pianura,33,0.51,1.09,1.27
Lucca,Montagna,16,0.35,1.25,0.96
Lucca,Pianura,38,1.12,1.09,1.1
Macerata,Collina,2776,0.11,1.09,0.92
Macerata,Montagna,80,0.45,0.95,1.13
Mantova,Collina,23,0.34,1.08,1.19
Mantova,Pianura,565,0.15,1.01,1.01
Matera,Collina,3285,0.13,0.98,1.05
Matera,Montagna,92,0.19,0.88,1.05
Matera,Pianura,1370,0.12,1.01,1.1
Messina,Collina,329,0.14,1.14,1.15
Messina,Montagna,536,0.16,1.24,1.15
Milano,Pianura,132,0.45,1.02,0.93
Modena,Collina,25,1.08,1.11,0.8
Modena,Montagna,20,0.37,1,0.61
Modena,Pianura,161,0.24,1.03,0.89
Napoli,Collina,81,0.54,1.35,0.66
Napoli,Pianura,69,1.03,0.86,1.14
Nuoro,Collina,130,1.12,1.06,0.94
Nuoro,Montagna,30,0.18,1.12,0.93
Oristano,Collina,243,0.32,0.89,0.91
Oristano,Pianura,393,0.19,0.87,0.97
Padova,Collina,39,0.37,1.06,0.99
Padova,Pianura,487,0.06,1.1,0.86
Palermo,Collina,3649,0.07,1.03,1.15
Palermo,Montagna,2896,0.04,1.04,1.15
Palermo,Pianura,592,0.31,1.1,1.15
Parma,Collina,189,0.26,1,0.96
Parma,Montagna,22,1,1.22,0.96
Parma,Pianura,277,0.21,1.03,0.97
Pavia,Collina,70,0.04,0.96,1.01
Pavia,Montagna,10,0.76,1.68,1.15
Pavia,Pianura,155,0.24,1.05,0.92
Perugia,Collina,880,0.39,1.01,0.95
Perugia,Montagna,192,0.61,0.93,0.9
Pesaro e Urbino,Collina,2321,0.06,1.04,1.0
Pesaro e Urbino,Montagna,159,0.36,1.16,1.0
Pescara,Collina,1030,0.2,0.84,0.93
Pescara,Montagna,129,0.15,1.09,0.87
Piacenza,Collina,162,0.4,1.02,1.09
Piacenza,Montagna,17,0.49,1.03,0.88
Piacenza,Pianura,146,0.15,0.98,1.11
Pisa,Collina,509,0.19,1,0.94
Pisa,Pianura,139,0.03,0.89,1.08
Pistoia,Collina,14,1.77,0.66,1.45
Pistoia,Montagna,10,1.08,0.84,0.56
Potenza,Collina,4376,0.02,0.99,1.05
Potenza,Montagna,2706,0.06,1.07,1.05
Ragusa,Collina,1419,0.06,0.96,1.1
Ragusa,Pianura,279,0.36,1.09,1.1
Ravenna,Collina,26,0.17,1.06,1.09
Ravenna,Pianura,898,0.08,1.25,1.06
Reggio Calabria,Collina,278,0.46,1.2,0.98
Reggio Calabria,Montagna,142,0.07,1.09,0.55
Reggio Calabria,Pianura,38,0.86,1.42,0.95
Reggio nell'Emilia,Collina,28,0.28,1.15,0.82
Reggio nell'Emilia,Montagna,11,1.36,1.15,1.41
Reggio nell'Emilia,Pianura,106,0.53,0.83,0.78
Rieti,Collina,69,0.54,0.91,0.68
Rieti,Montagna,90,0.67,0.9,0.66
Rimini,Collina,150,0.35,0.91,1.04
Rimini,Pianura,82,0.27,1.17,0.8
Roma,Collina,430,0.16,1.06,1
Roma,Montagna,19,0.8,0.86,1.16
Roma,Pianura,620,0.23,1.09,1.03
Rovigo,Pianura,666,0.16,0.91,1.03
Salerno,Collina,1050,0.12,1.03,0.82
Salerno,Montagna,212,0.13,1.13,0.76
Salerno,Pianura,197,1.2,0.88,0.7
Sassari,Collina,184,0.29,0.97,0.82
Sassari,Montagna,15,1.44,0.87,0.95
Sassari,Pianura,170,0.17,1.1,0.88
Siena,Collina,718,0.14,0.9,0.9
Siena,Montagna,51,0.05,1.19,0.85
Siracusa,Collina,831,0.04,0.93,1.1
Siracusa,Pianura,353,0.14,0.97,1.1
Sondrio,Montagna,13,7.08,1.02,1.14
Sud Sardegna,Collina,1282,0.2,0.96,0.94
Sud Sardegna,Pianura,1600,0.15,0.96,0.94
Taranto,Collina,1501,0.16,0.98,1.2
Taranto,Pianura,1141,0.12,1.04,1.2
Teramo,Collina,907,0.11,1.05,0.97
Teramo,Montagna,47,0.81,1.32,0.8
Terni,Collina,281,0.34,0.84,0.94
Torino,Collina,70,0.39,1.04,0.76
Torino,Montagna,16,1.5,1.65,1.02
Torino,Pianura,196,0.11,0.85,0.9
Trapani,Collina,2462,0.02,1.05,1.15
Trapani,Pianura,1302,0.07,1.04,1.15
Trento,Montagna,56,1.13,1.12,0.17
Treviso,Collina,46,0.78,1.23,1.12
Treviso,Pianura,209,0.42,0.93,0.96
Udine,Collina,16,0.94,1.24,1.47
Udine,Pianura,80,0.32,1.32,1.68
Venezia,Pianura,229,0.31,0.71,1.15
Verona,Collina,14,0.97,1.12,1.18
Verona,Pianura,308,0.42,1,1.31
Vibo Valentia,Collina,345,0.23,0.94,0.65
Vibo Valentia,Montagna,21,1.05,1.03,1.12
Vicenza,Collina,100,0.13,1.1,0.83
Vicenza,Pianura,172,0.28,0.86,0.96
Viterbo,Collina,993,0.15,1.03,1.01
Viterbo,Pianura,755,0.2,1,0.96
